LINK,NAME,LIKES,DISLIKES,LIKE RATIO,DIFFICULTY,Accepted,Submitted,Acceptance %
https://leetcode.com/problems/maximum-sum-of-3-non-overlapping-subarrays,Maximum sum of 3 non overlapping subarrays,721,37,0.951187335,Hard,31851,71104,0.45
https://leetcode.com/problems/maximum-sum-circular-subarray,Maximum sum circular subarray,467,24,0.951120163,Medium,15761,46722,0.34
https://leetcode.com/problems/serialize-and-deserialize-binary-tree,Serialize and deserialize binary tree,2274,117,0.951066499,Hard,254361,572110,0.44
https://leetcode.com/problems/brick-wall,Brick wall,680,35,0.951048951,Medium,46540,95442,0.49
https://leetcode.com/problems/word-search-ii,Word search ii,1690,87,0.95104108,Hard,154838,491160,0.32
https://leetcode.com/problems/binary-tree-postorder-traversal,Binary tree postorder traversal,1282,66,0.951038576,Hard,317808,614433,0.52
https://leetcode.com/problems/different-ways-to-add-parentheses,Different ways to add parentheses,1282,66,0.951038576,Medium,88560,167803,0.53
https://leetcode.com/problems/word-search,Word search,2615,135,0.950909091,Medium,373932,1123930,0.33
https://leetcode.com/problems/distinct-subsequences,Distinct subsequences,909,47,0.95083682,Hard,120886,331284,0.36
https://leetcode.com/problems/number-of-paths-with-max-score,Number of paths with max score,58,3,0.950819672,Hard,2458,6684,0.37
https://leetcode.com/problems/partition-labels,Partition labels,1507,78,0.950788644,Medium,83678,114257,0.73
https://leetcode.com/problems/shortest-path-with-alternating-colors,Shortest path with alternating colors,193,10,0.950738916,Medium,8023,21448,0.37
https://leetcode.com/problems/course-schedule,Course schedule,2641,137,0.950683945,Medium,303649,752241,0.4
https://leetcode.com/problems/largest-divisible-subset,Largest divisible subset,710,37,0.950468541,Medium,54281,151824,0.36
https://leetcode.com/problems/course-schedule-iii,Course schedule iii,536,28,0.95035461,Hard,15964,48742,0.33
https://leetcode.com/problems/the-skyline-problem,The skyline problem,1605,84,0.95026643,Hard,113111,341634,0.33
https://leetcode.com/problems/recover-binary-search-tree,Recover binary search tree,1117,59,0.949829932,Hard,139982,379009,0.37
https://leetcode.com/problems/maximum-difference-between-node-and-ancestor,Maximum difference between node and ancestor,282,15,0.949494949,Medium,19277,30869,0.62
https://leetcode.com/problems/next-greater-element-ii,Next greater element ii,993,53,0.949330784,Medium,69758,130578,0.53
https://leetcode.com/problems/decode-string,Decode string,2285,122,0.949314499,Medium,156636,328963,0.48
https://leetcode.com/problems/combinations,Combinations,1104,59,0.949269132,Medium,248498,483163,0.51
https://leetcode.com/problems/remove-linked-list-elements,Remove linked list elements,1134,61,0.948953975,Easy,273125,740175,0.37
https://leetcode.com/problems/word-break,Word break,3194,172,0.948900772,Medium,439851,1164641,0.38
https://leetcode.com/problems/open-the-lock,Open the lock,575,31,0.948844884,Medium,35092,72143,0.49
https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree,Convert sorted list to binary search tree,1463,79,0.948767834,Medium,210067,475193,0.44
https://leetcode.com/problems/minimum-number-of-arrows-to-burst-balloons,Minimum number of arrows to burst balloons,663,36,0.948497854,Medium,50338,105131,0.48
https://leetcode.com/problems/jump-game-ii,Jump game ii,1766,96,0.948442535,Hard,215277,730728,0.29
https://leetcode.com/problems/delete-node-in-a-bst,Delete node in a bst,1286,70,0.948377581,Medium,87127,210613,0.41
https://leetcode.com/problems/add-and-search-word-data-structure-design,Add and search word data structure design,1210,66,0.948275862,Medium,145218,434709,0.33
https://leetcode.com/problems/swap-for-longest-repeated-character-substring,Swap for longest repeated character substring,182,10,0.947916667,Medium,6074,12797,0.47
https://leetcode.com/problems/video-stitching,Video stitching,290,16,0.947712418,Medium,15161,31736,0.48
https://leetcode.com/problems/combination-sum-iii,Combination sum iii,814,45,0.947613504,Medium,145088,268139,0.54
https://leetcode.com/problems/binary-subarrays-with-sum,Binary subarrays with sum,323,18,0.947214076,Medium,14584,36030,0.4
https://leetcode.com/problems/unique-number-of-occurrences,Unique number of occurrences,179,10,0.947089947,Easy,29537,41184,0.72
https://leetcode.com/problems/minimum-size-subarray-sum,Minimum size subarray sum,1589,89,0.946960667,Medium,217436,598614,0.36
https://leetcode.com/problems/generate-parentheses,Generate parentheses,3839,216,0.946732429,Medium,445972,756401,0.59
https://leetcode.com/problems/partition-to-k-equal-sum-subsets,Partition to k equal sum subsets,1207,68,0.946666667,Medium,63774,143912,0.44
https://leetcode.com/problems/longest-consecutive-sequence,Longest consecutive sequence,2486,141,0.946326608,Hard,252760,581083,0.43
